"year","iteration","sAg","ppnCUsLowerBM"
1,"1",216763.005780347,NA
1,"2",216763.005780347,NA
1,"3",216763.005780347,NA
1,"4",216763.005780347,NA
1,"5",216763.005780347,NA
2,"1",216763.005780347,NA
2,"2",216763.005780347,NA
2,"3",216763.005780347,NA
2,"4",216763.005780347,NA
2,"5",216763.005780347,NA
3,"1",216763.005780347,NA
3,"2",216763.005780347,NA
3,"3",216763.005780347,NA
3,"4",216763.005780347,NA
3,"5",216763.005780347,NA
4,"1",216763.005780347,NA
4,"2",216763.005780347,NA
4,"3",216763.005780347,NA
4,"4",216763.005780347,NA
4,"5",216763.005780347,NA
5,"1",216763.005780347,NA
5,"2",216763.005780347,NA
5,"3",216763.005780347,NA
5,"4",216763.005780347,NA
5,"5",216763.005780347,NA
6,"1",216763.005780347,NA
6,"2",216763.005780347,NA
6,"3",216763.005780347,NA
6,"4",216763.005780347,NA
6,"5",216763.005780347,NA
7,"1",69728.3681616339,NA
7,"2",54924.8219943056,NA
7,"3",51113.8682903617,NA
7,"4",70951.5905126295,NA
7,"5",34098.886853855,NA
8,"1",76366.4966111478,NA
8,"2",78575.3649423463,NA
8,"3",77799.1131952033,NA
8,"4",137371.102392464,NA
8,"5",48947.77357322,NA
9,"1",64832.1937370943,NA
9,"2",84471.6022268586,NA
9,"3",117678.740826675,NA
9,"4",138184.28368244,NA
9,"5",68846.6481017083,NA
10,"1",65868.8896554879,NA
10,"2",91995.0609997744,NA
10,"3",159015.259678219,NA
10,"4",68708.7389992852,NA
10,"5",50569.014408578,NA
11,"1",128611.451405527,NA
11,"2",70080.6333922854,NA
11,"3",290930.769892514,NA
11,"4",83341.6906179805,NA
11,"5",43463.2940159977,NA
12,"1",96125.0145792407,NA
12,"2",112940.064467281,NA
12,"3",129727.191757925,NA
12,"4",50834.7359034376,NA
12,"5",72724.3128427356,NA
13,"1",81867.2431098226,NA
13,"2",99201.7131128199,NA
13,"3",131730.871897519,NA
13,"4",60792.5513302557,NA
13,"5",44121.8780686914,NA
14,"1",100485.975952321,NA
14,"2",170707.882574818,NA
14,"3",237094.137201332,NA
14,"4",52724.9283158936,NA
14,"5",78253.0689003388,NA
15,"1",78158.3414393758,NA
15,"2",90967.6559002624,NA
15,"3",110123.040674599,NA
15,"4",72403.0498841938,NA
15,"5",107234.33485342,NA
